"section_id","section_type","subsection"
"1","Vereine","Sportverein"
"2","Vereine","Schützenverein"
"3","Vereine","Frauengemeinschaft"
"4","Vereine","Gesangverein"
"5","Vereine","Fischereiverein"
"6","Vereine","Kirchenchor"
"7","Vereine","Jungmännerverein"
"8","Vereine","Kath. Kirchengemeinde"
"9","Vereine","Ev. Kirchengemeinde"
"10","Vereine","Baptisengemeinde"
"12","Gemeinde","Bürgermeister"
"13","Gemeinde","Gemeinderat"
"14","Gemeinde","Freie-Wähler Gruppe (FWG)"
"15","Gemeinde","Wählergruppe Heidrich"
"16","Gemeinde","Kindertagesstätte"
"17","Gemeinde","Grundschule"
"18","Industrie und Gesundheit","Artzpraxen"
"19","Industrie und Gesundheit","Zahnarzt"
"20","Industrie und Gesundheit","Apotheke"
"21","Industrie und Gesundheit","Unternehmen"
